municipio;codEstacao;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;00:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;01:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;02:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;03:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;04:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;05:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;06:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;07:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;08:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;09:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;09:20:00.0;0,6
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;09:30:00.0;0,6
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;09:50:00.0;0,4
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;10:00:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;10:10:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;10:20:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;10:50:00.0;0,6
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;11:00:00.0;1
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;11:10:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;11:30:00.0;0,4
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;11:40:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;11:50:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;12:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;12:30:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;12:50:00.0;0,8
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;13:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;13:20:00.0;0,4
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;14:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;15:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;15:40:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;16:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;16:30:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;16:40:00.0;1,4
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;17:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;17:20:00.0;0,2
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;18:00:00.0;0
ARAPIRACA;270030001C;AL;ARAPIRACA;-9,801054;-36,561982;01/05/2018;19:00:00.0;0
